age,length,weight,maturity,natmort
1,22.7608,0.238,0.0212806584664155,0.4921
2,35.071,0.8812,0.120086834669432,0.4623
3,44.9998,1.9028,0.354888402345539,0.4021
4,53.0079,3.1681,0.604655052983315,0.3476
5,59.4668,4.54,0.771537357508513,0.3207
6,64.6762,5.9125,0.866027037255911,0.3272
7,68.8778,7.2156,0.918507791033903,0.3567
8,72.2666,8.4104,0.948696586730572,0.3987
9,74.9999,9.4807,0.966945999673438,0.4385
10,77.2044,10.4255,0.978533170088763,0.4629
11,78.9824,11.2533,0.986216826540791,0.4652
12,80.4165,11.9778,0.9915020077571,0.4416
13,81.5732,12.615,0.995253420430042,0.3946
14,82.5061,13.1817,0.997979549727609,0.3424
15,83.2585,13.6948,0.999499967232698,0.3033
16,83.8654,14.1701,0.999716115271298,0.288
