year,rec,catch,tb,sb,sbf0,dep,f
1972,2559733240,227912.3,3557180.25,2434088,2871831.5,0.847573403941004,0.06412
1973,3197158560,314509.2,4050610,2653504.5,3057325.5,0.867916909730416,0.07708
1974,2313142310,340493.6,4079293.5,2919850.75,3406829,0.85705820573912,0.08332
1975,2368471780,268427.7,3660845,2591427.75,3057716.75,0.847504187560865,0.07344
1976,2062218220,329103.6,3464670.75,2410864.75,2846147.5,0.847062476558225,0.09505
1977,3167658040,376782.7,3420219.75,2286475,2777367,0.823252742615578,0.11055
1978,2328351340,421816.4,3924494.25,2605020.25,3172377.5,0.821157081715527,0.10724
1979,2864464930,373952.5,3684572,2610296.25,3218908,0.810926019010174,0.10169
1980,2193820820,416164,3700564.75,2499250.5,3086562,0.809719843631847,0.11236
1981,2815315420,400663.4,3520328.25,2436167,3056954.25,0.796926221581497,0.11392
1982,3753825530,436504.9,3794090.75,2445370,3062898,0.79838440587966,0.11501
1983,3919777260,586667,4783866.25,3052363,3773035,0.808994085663133,0.12211
1984,2555590150,672194,4910552,3440064,4328694,0.794711753706776,0.13692
1985,3621119880,522974,4273030.25,2955115.75,3837847.5,0.769993010404921,0.1227
1986,3510787400,649380,4765378,3052988.5,3892093.75,0.784407749684858,0.13615
1987,4178004060,596815,5136047.25,3437101.5,4351835.75,0.789804969086896,0.11621
1988,3185455180,739805,5361717,3644856,4552674.5,0.800596660270792,0.13801
1989,3463988780,704108,4681620.5,3287578.25,4319809,0.761047131944954,0.15016
1990,3880647630,758838,4607046.75,3025178,4047974.5,0.747331288771705,0.16479
1991,3124100330,955604,4866055,3221126,4400578,0.731977935625729,0.19625
1992,3305683440,874428,4490770,3064397.75,4339796.5,0.706115540210238,0.19516
1993,3783336720,831457,4374126.75,2826224.75,4078138,0.693018419190327,0.18993
1994,4292467650,901032,4745116.5,3050703,4351989.75,0.700990391808712,0.18968
1995,3326640350,941277,4910166.25,3275177.5,4696542.5,0.697359280790071,0.19118
1996,3947419580,972525,4752123.25,3138423,4522697.25,0.693927279788626,0.2046
1997,4323784040,905298,4682032.5,3086919.25,4549937.5,0.678453110619651,0.19364
1998,4685699410,1204494,5419081.25,3334875.75,4835071,0.689726324597922,0.22117
1999,4254988430,1033848,5529479.75,3731704.75,5434144.5,0.686714302499685,0.18702
2000,4114221890,1145619,5356156.75,3534270.75,5234388.75,0.675202190513649,0.21376
2001,4348471670,1068061,5306156,3475574.25,5180690.5,0.67087085206113,0.20111
2002,4454625870,1224795,5374696.5,3488825.25,5193798,0.671729098821325,0.22782
2003,3980496340,1205826,5079391.5,3400788.25,5246501,0.648201201143391,0.2366
2004,5729484550,1306442,5475831.5,3329954.75,5114723.25,0.651052772014595,0.23879
2005,6055096700,1386412,6358754.5,4009845.5,6072119.75,0.660369963882876,0.21778
2006,4975848760,1458107,6733392.75,4400477.75,6609117,0.665819314440946,0.21651
2007,5307184310,1641247,6685920.25,4345239,6590098.5,0.659358733408916,0.24562
2008,4471290870,1625466,5897134,3992950.25,6447241.5,0.619326924545947,0.27541
2009,5164977680,1743654,5413419.5,3400833,5851686.75,0.581171403271031,0.32211
2010,5706853470,1662727,5756122,3513044.65,6083489.5,0.577471967363468,0.28828
2011,4215269940,1500916,5686484,3768816.75,6411129.25,0.587855368849411,0.26266
2012,5749125880,1700875,5665019.75,3505273.25,5936226.75,0.590488436109689,0.30013
2013,5322629320,1813474,5900746.5,3698374.75,6278864.5,0.589019678637754,0.30719
2014,5252125510,1945010,5900321.5,3717606.75,6545519.5,0.567962061682041,0.32948
2015,4667686850,1751798,5757673,3645160.25,6506065.5,0.56027106551571,0.30421
2016,4329702210,1742600,5320121.25,3468952,6156942.25,0.563421233973731,0.32826
2017,5249859830,1592817,4846306.5,3012631.5,5608782.5,0.537127531688027,0.32847
2018,5646852740,1819389,5359624,3199355.5,5869481.25,0.545083179199184,0.33976
2019,3412165050,2004532,5487468,3531499.25,6452412.75,0.547314529747031,0.36573
2020,5020100490,1698981,4637902.25,2905570.25,5707973.25,0.509037117509267,0.36587
2021,3282151760,1530207,4226539.25,2724472.5,5447767.5,0.500108071792711,0.35976
